ortho_dose,pipe_material,date,location,lead,lead_dissolved,lead_part,cens_lead_part,cens_lead_dissolved,date_yday,date_numeric,scaled_lead_dissolved,scaled_lead_part,scaled_lead,d_x
1.0,Pb #2,2019-10-04,LP23,0.02,0.0198,2e-4,left,none,0.7589041095890411,2.758904109589041,0.6529534256976413,-1.33081068958978,1.6408652709559652,0.14285714285714285
1.0,Pb #2,2019-10-05,LP23,0.0698,0.0237,0.0461,none,none,0.7616438356164383,2.7616438356164386,0.7497997584897087,2.179735512683235,2.4474159069897525,0.14285714285714285
1.0,Pb #2,2019-10-07,LP23,0.02465,0.0242,4.49999999999999e-4,none,none,0.7671232876712328,2.767123287671233,0.7610455595214467,-0.8075245281917797,1.7757599366152839,0.2857142857142857
1.0,Pb #2,2019-10-08,LP23,0.0245,0.0242,3.0000000000000165e-4,none,none,0.7698630136986301,2.76986301369863,0.7610455595214467,-1.0691676088907753,1.771821218979943,0.14285714285714285
1.0,Pb #2,2019-10-16,LP23,0.0149,0.0134,0.0014999999999999996,none,none,0.7917808219178082,2.791780821917808,0.4426481174073364,-0.03061142937682816,1.4509102054657328,1.1428571428571428
1.0,Pb #2,2019-10-22,LP23,0.0157,0.0122,0.003499999999999998,none,none,0.8082191780821918,2.808219178082192,0.39211224110106097,0.5161424540725963,1.4846586140689373,0.8571428571428571
1.0,Pb #2,2019-10-30,LP23,0.0122,0.0105,0.0017000000000000001,none,none,0.8301369863013699,2.83013698630137,0.3112814020868375,0.05015524982092811,1.3219001865835192,1.1428571428571428
1.0,Pb #2,2019-11-06,LP23,0.0117,0.0103,0.0014000000000000002,none,none,0.8493150684931506,2.8493150684931505,0.30092234621006503,-0.07513192468243286,1.2948966132971262,1
1.0,Pb #2,2019-11-12,LP23,0.0125,0.0073,0.005200000000000001,none,none,0.8657534246575342,2.8657534246575342,0.11548007289325388,0.7716104518991247,1.3375760481931525,0.8571428571428571
1.0,Pb #2,2019-11-20,LP23,0.009,0.0066,0.0023999999999999994,none,none,0.8876712328767123,2.8876712328767122,0.06118118783449792,0.2726777933859849,1.1255952528400153,1.1428571428571428
1.0,Pb #2,2019-11-26,LP23,0.0113,0.0089,0.0023999999999999994,none,none,0.9041095890410958,2.904109589041096,0.22222892845450654,0.2726777933859849,1.2724494374584763,0.8571428571428571
1.0,Pb #2,2019-12-04,LP23,0.0132,0.0104,0.0028000000000000004,none,none,0.9260273972602739,2.926027397260274,0.3061267761088098,0.37214987607648853,1.372736796613504,1.1428571428571428
1.0,Pb #2,2019-12-17,LP23,0.0148,0.0119,0.0029,none,none,0.9616438356164384,2.9616438356164383,0.3787010677576745,0.39479399720457614,1.4465647935172818,1.8571428571428572
1.0,Pb #2,2020-01-01,LP23,0.012,0.0096,0.002400000000000001,none,none,0.00273224043715847,3.0027322404371586,0.26301142710609754,0.2726777933859855,1.311233972899936,2.142857142857143
1.0,Pb #2,2020-01-07,LP23,0.0624,0.0092,0.0532,none,none,0.01912568306010929,3.019125683060109,0.24008650761722428,2.2721705437829023,2.3750989348748894,0.8571428571428571
1.0,Pb #2,2020-01-15,LP23,0.0166,0.0064,0.0102,none,none,0.040983606557377046,3.040983606557377,0.04460590144837705,1.2063619320377716,1.5206284271722033,1.1428571428571428
1.0,Pb #2,2020-01-21,LP23,0.0159,0.0071,0.0088,none,none,0.05737704918032787,3.057377049180328,0.10051649112007295,1.1110937159145038,1.4928269666301082,0.8571428571428571
1.0,Pb #2,2020-01-29,LP23,0.0087,0.0059,0.0027999999999999995,none,none,0.07923497267759563,3.079234972677596,7.887226341539534e-4,0.372149876076488,1.1037188786624983,1.1428571428571428
1.0,Pb #2,2020-02-04,LP23,0.0108,0.0064,0.0044,none,none,0.09562841530054644,3.0956284153005464,0.04460590144837705,0.6638119151555825,1.2432457555429077,0.8571428571428571
1.0,Pb #2,2020-02-11,LP23,0.0133,0.0055,0.0078,none,none,0.11475409836065574,3.1147540983606556,-0.037027103468572235,1.0332535325981254,1.3776069422650596,1
1.0,Pb #2,2020-02-18,LP23,0.0122,0.0048,0.007400000000000001,none,none,0.13387978142076504,3.133879781420765,-0.11035528509932534,0.999282992758361,1.3219001865835192,1
1.0,Pb #2,2020-02-25,LP23,0.012,0.0047,0.0073,none,none,0.15300546448087432,3.1530054644808745,-0.1216957945803853,0.9905033847289492,1.311233972899936,1
1.0,Pb #2,2020-03-10,LP23,0.0158,0.008,0.007800000000000001,none,none,0.1912568306010929,3.191256830601093,0.16480313580302688,1.0332535325981254,1.4887557150442956,2
1.0,Pb #2,2020-03-17,LP23,0.0147,0.0066,0.0081,none,none,0.2103825136612022,3.210382513661202,0.06118118783449792,1.057607035482987,1.4421899209239137,1
1.0,Pb #2,2020-03-25,LP23,0.0134,0.0041,0.0093,none,none,0.23224043715846995,3.23224043715847,-0.19526279435033342,1.1467542381322668,1.3824406070824002,1.1428571428571428
1.0,Pb #2,2020-04-01,LP23,0.0122,0.0033,0.008900000000000002,none,none,0.25136612021857924,3.251366120218579,-0.31218552437092495,1.1183852198886974,1.3219001865835192,1
1.0,Pb #2,2020-04-08,LP23,0.0137,0.0047,0.009000000000000001,none,none,0.27049180327868855,3.2704918032786887,-0.1216957945803853,1.1255952528400153,1.396728081562481,1
1.0,Pb #2,2020-04-15,LP23,0.0071,0.006,0.0011000000000000003,none,none,0.2896174863387978,3.289617486338798,0.009841949255324504,-0.23075168636226034,0.9725774754753429,1
1.0,Pb #2,2020-04-22,LP23,0.0066,0.0013,0.0053,none,none,0.3087431693989071,3.308743169398907,-0.8139733605074588,0.783902085172186,0.9254549958545826,1
1.0,Pb #2,2020-04-28,LP23,0.0074,0.0023,0.0051,none,none,0.3251366120218579,3.3251366120218577,-0.5066469167936214,0.7590801312788502,0.999282992758361,0.8571428571428571
1.0,Pb #2,2020-05-05,LP23,0.0091,0.0079,0.0011999999999999997,none,none,0.3442622950819672,3.3442622950819674,0.15802752062656567,-0.17460400737293647,1.1327256152886285,1
1.0,Pb #2,2020-05-12,LP23,0.0081,0.0064,0.0016999999999999993,none,none,0.3633879781420765,3.3633879781420766,0.04460590144837705,0.05015524982092753,1.057607035482987,1
1.0,Pb #2,2020-05-20,LP23,0.0133,0.0103,0.002999999999999999,none,none,0.38524590163934425,3.3852459016393444,0.30092234621006503,0.41667037138209323,1.3776069422650596,1.1428571428571428
1.0,Pb #2,2020-05-26,LP23,0.0132,0.0039,0.0093,none,none,0.4016393442622951,3.401639344262295,-0.22220112264431546,1.1467542381322668,1.372736796613504,0.8571428571428571
1.0,Pb #2,2020-06-02,LP23,0.0134,0.0121,0.0013000000000000008,none,none,0.4207650273224044,3.420765027322404,0.38767884731602403,-0.12295314961871746,1.3824406070824002,1
1.0,Pb #2,2020-06-09,LP23,0.0123,0.0113,0.0010000000000000009,none,none,0.43989071038251365,3.439890710382514,0.35083342406539103,-0.2922545100758277,1.327167899394366,1
1.0,Pb #2,2020-06-16,LP23,0.0138,0.0112,0.0026,none,none,0.45901639344262296,3.459016393442623,0.3460453542798901,0.32432865114020337,1.401421129417872,1
1.0,Pb #2,2020-06-23,LP23,0.0096,0.0032,0.0063999999999999994,none,none,0.4781420765027322,3.478142076502732,-0.32876081075704533,0.9055983142048271,1.1672413949038276,1
1.0,Pb #2,2020-06-30,LP23,0.0157,0.014,0.0016999999999999984,none,none,0.4972677595628415,3.4972677595628414,0.46624258863453993,0.05015524982092753,1.4846586140689373,1
1.0,Pb #2,2020-07-07,LP23,0.0155,0.0122,0.003299999999999999,none,none,0.5163934426229508,3.5163934426229506,0.39211224110106097,0.47817319509566114,1.4763855361882958,1
1.0,Pb #2,2020-07-14,LP23,0.0144,0.0133,0.0011000000000000003,none,none,0.5355191256830601,3.5355191256830603,0.43861323483958753,-0.23075168636226034,1.4288844756028285,1
1.0,Pb #2,2020-07-21,LP23,0.0189,0.0171,0.0017999999999999995,none,none,0.5546448087431693,3.5546448087431695,0.5739848333235155,0.08703907332606424,1.6043609189324115,1
1.0,Pb #2,2020-07-28,LP23,0.0196,0.0166,0.002999999999999999,none,none,0.5737704918032787,3.5737704918032787,0.557999853083193,0.41667037138209323,1.6278286409838347,1
1.0,Pb #2,2020-08-04,LP23,0.0246,0.024,5.999999999999998e-4,none,none,0.592896174863388,3.592896174863388,0.7565753736661702,-0.6218858081318579,1.7744497001532877,1
1.0,Pb #2,2020-08-11,LP23,0.0206,0.0192,0.001400000000000002,none,none,0.6120218579234973,3.612021857923497,0.6363781393115204,-0.0751319246824323,1.6599393069842074,1
1.0,Pb #2,2020-08-18,LP23,0.0201,0.0147,0.0054,none,none,0.6311475409836066,3.6311475409836067,0.4925236205637007,0.7959639547839863,1.644083687781401,1
1.0,Pb #2,2020-08-26,LP23,0.017,0.0133,0.003700000000000002,none,none,0.6530054644808743,3.6530054644808745,0.43861323483958753,0.5520011919994395,1.5359932300938006,1.1428571428571428
1.0,Pb #2,2020-09-01,LP23,0.019,0.0091,0.009899999999999999,none,none,0.6693989071038251,3.669398907103825,0.23419951673489994,1.1870980765535832,1.6077661576305855,0.8571428571428571
1.0,Pb #2,2020-09-09,LP23,0.0139,0.0055,0.0084,none,none,0.6912568306010929,3.691256830601093,-0.037027103468572235,1.08107475753441,1.4060802921557167,1.1428571428571428
1.0,Pb #2,2020-09-15,LP23,0.0107,0.0079,0.0027999999999999987,none,none,0.7076502732240437,3.7076502732240435,0.15802752062656567,0.372149876076488,1.2372430030856227,0.8571428571428571
1.0,Pb #2,2020-09-22,LP23,0.0094,0.0058,0.0036000000000000008,none,none,0.726775956284153,3.726775956284153,-0.008419267471527207,0.5343208740849856,1.1536558144640232,1
1.0,Pb #2,2020-09-29,LP23,0.0116,0.0026,0.009,none,none,0.7459016393442623,3.7459016393442623,-0.44060664830203594,1.1255952528400153,1.2893575987224188,1
1.0,Pb #2,2020-10-06,LP23,0.0085,0.0017,0.0068000000000000005,none,none,0.7650273224043715,3.7650273224043715,-0.6694718094846843,0.9447188513387709,1.0887114293348792,1
1.0,Pb #2,2020-10-13,LP23,0.0071,0.0018,0.005300000000000001,none,none,0.7841530054644809,3.7841530054644807,-0.6386831838524506,0.7839020851721866,0.9725774754753429,1
1.0,Pb #2,2020-10-20,LP23,0.0058,0.0016,0.0042,none,none,0.8032786885245902,3.80327868852459,-0.7021275229624682,0.6337929567754886,0.8420757979634975,1
1.0,Pb #2,2020-11-04,LP23,0.0058,0.0016,0.0042,none,none,0.8442622950819673,3.8442622950819674,-0.7021275229624682,0.6337929567754886,0.8420757979634975,2.142857142857143
1.0,Pb #2,2020-11-10,LP23,0.0112,0.0018,0.0094,none,none,0.860655737704918,3.860655737704918,-0.6386831838524506,1.1536558144640232,1.2667134775943307,0.8571428571428571
1.0,Pb #2,2020-11-16,LP23,0.0052,0.0019,0.0033,none,none,0.8770491803278688,3.8770491803278686,-0.6095596424027712,0.47817319509566114,0.7716104518991247,0.8571428571428571
1.0,Pb #2,2020-11-25,LP23,0.0248,0.0019,0.0229,none,none,0.9016393442622951,3.901639344262295,-0.6095596424027712,1.7282406965074577,1.7796747589511086,1.2857142857142858
1.0,Pb #2,2020-12-01,LP23,0.007,0.0016,0.0054,none,none,0.9180327868852459,3.918032786885246,-0.7021275229624682,0.7959639547839863,0.9634242548315182,0.8571428571428571
1.0,Pb #2,2020-12-09,LP23,0.0054,0.0018,0.0036000000000000003,none,none,0.9398907103825137,3.939890710382514,-0.6386831838524506,0.5343208740849856,0.7959639547839863,1.1428571428571428
1.0,Pb #2,2020-12-15,LP23,0.0075,0.0017,0.0058,none,none,0.9562841530054644,3.9562841530054644,-0.6694718094846843,0.8420757979634975,1.0079447501371228,0.8571428571428571
1.0,Pb #2,2021-01-05,LP23,0.006,0.0016,0.0044,none,none,0.0136986301369863,4.013698630136986,-0.7021275229624682,0.6638119151555825,0.8639521721410146,3
1.0,Pb #2,2021-01-13,LP23,0.0062,0.002,0.0042,none,none,0.03561643835616438,4.035616438356165,-0.5819302886078184,0.6337929567754886,0.8851111574332662,1.1428571428571428
1.0,Pb #2,2021-01-19,LP23,0.0056,0.0018,0.0038,none,none,0.052054794520547946,4.052054794520548,-0.6386831838524506,0.5692099781166344,0.81943167683541,0.8571428571428571
1.0,Pb #2,2021-01-26,LP23,0.0356,0.0017,0.0339,none,none,0.07123287671232877,4.071232876712329,-0.6694718094846843,1.981374318916398,2.0129488214065403,1
1.0,Pb #2,2021-02-02,LP23,0.006,0.0025,0.0035,none,none,0.09041095890410959,4.090410958904109,-0.4617330542531685,0.5161424540725968,0.8639521721410146,1
1.0,Pb #2,2021-02-09,LP23,0.0059,0.0022,0.0036999999999999997,none,none,0.1095890410958904,4.109589041095891,-0.5305910500286449,0.5520011919994395,0.8531066859918159,1
1.0,Pb #2,2021-02-17,LP23,0.0076,0.0025,0.0051,none,none,0.13150684931506848,4.131506849315069,-0.4617330542531685,0.7590801312788502,1.0164917788755559,1.1428571428571428
1.0,Pb #2,2021-02-23,LP23,0.0057,0.0026,0.0031000000000000003,none,none,0.14794520547945206,4.147945205479452,-0.44060664830203594,0.43782935667434475,0.8308530588156351,0.8571428571428571
1.0,Pb #2,2021-03-09,LP23,0.0087,0.0048,0.0039,none,none,0.1863013698630137,4.186301369863013,-0.11035528509932534,0.585971731839204,1.1037188786624983,2
1.0,Pb #2,2021-03-23,LP23,0.0034,0.003,3.9999999999999975e-4,none,none,0.22465753424657534,4.2246575342465755,-0.36352476295009833,-0.8835288888308586,0.4974370505798495,2
1.0,Pb #2,2021-04-06,LP23,0.0037,0.0034,3.0000000000000035e-4,none,none,0.26301369863013696,4.263013698630137,-0.29610509727926143,-1.0691676088907787,0.5520011919994395,2
1.0,Pb #2,2021-04-21,LP23,0.0045,0.0044,2e-4,left,none,0.3041095890410959,4.304109589041096,-0.15722433782322207,-1.33081068958978,0.678313452081094,2.142857142857143
1.0,Pb #2,2021-05-06,LP23,0.0063,0.0056,7.000000000000001e-4,none,none,0.3452054794520548,4.345205479452055,-0.027321357925532308,-0.5224137254413542,0.8954360374744894,2.142857142857143
1.0,Pb #2,2021-05-19,LP23,0.0063,0.0061,2e-4,left,none,0.38082191780821917,4.380821917808219,0.01874552889563811,-1.33081068958978,0.8954360374744894,1.8571428571428572
