type,ortho_dose,pipe_material,date,location,value,bdl
lead,1.0,Pb-Cu,2017-12-05,LP21,0.0096,FALSE
lead_dissolved,1.0,Pb-Cu,2017-12-05,LP21,0.0091,FALSE
lead,1.0,Pb #1,2017-12-05,LP22,0.1104,FALSE
lead_dissolved,1.0,Pb #1,2017-12-05,LP22,0.1072,FALSE
lead,1.0,Pb #2,2017-12-05,LP23,0.1186,FALSE
lead_dissolved,1.0,Pb #2,2017-12-05,LP23,0.1153,FALSE
lead,1.0,Cu/Pb-Sn,2017-12-05,LP25,3e-4,FALSE
lead_dissolved,1.0,Cu/Pb-Sn,2017-12-05,LP25,3e-4,FALSE
lead,2.0-0.75,Pb-Cu,2017-12-05,LP31,0.0101,FALSE
lead_dissolved,2.0-0.75,Pb-Cu,2017-12-05,LP31,0.0097,FALSE
lead,2.0-0.75,Pb #1,2017-12-05,LP32,0.1322,FALSE
lead_dissolved,2.0-0.75,Pb #1,2017-12-05,LP32,0.1274,FALSE
lead,2.0-0.75,Pb #2,2017-12-05,LP33,0.1237,FALSE
lead_dissolved,2.0-0.75,Pb #2,2017-12-05,LP33,0.1184,FALSE
lead,2.0-0.75,Cu/Pb-Sn,2017-12-05,LP35,2e-4,FALSE
lead_dissolved,2.0-0.75,Cu/Pb-Sn,2017-12-05,LP35,2e-4,FALSE
lead,0-0.5,Pb-Cu,2017-12-19,LP11,0.0102,FALSE
lead_dissolved,0-0.5,Pb-Cu,2017-12-19,LP11,0.0087,FALSE
lead,0-0.5,Pb #1,2017-12-19,LP12,0.0985,FALSE
lead_dissolved,0-0.5,Pb #1,2017-12-19,LP12,0.0928,FALSE
lead,0-0.5,Pb #2,2017-12-19,LP13,0.1201,FALSE
lead_dissolved,0-0.5,Pb #2,2017-12-19,LP13,0.1126,FALSE
lead,0-0.5,Cu/Pb-Sn,2017-12-19,LP15,0.0023,FALSE
lead_dissolved,0-0.5,Cu/Pb-Sn,2017-12-19,LP15,2e-4,TRUE
lead,1.0,Pb-Cu,2017-12-19,LP21,0.0056,FALSE
lead_dissolved,1.0,Pb-Cu,2017-12-19,LP21,0.0047,FALSE
lead,1.0,Pb #1,2017-12-19,LP22,0.116,FALSE
lead_dissolved,1.0,Pb #1,2017-12-19,LP22,0.1096,FALSE
lead,1.0,Pb #2,2017-12-19,LP23,0.1254,FALSE
lead_dissolved,1.0,Pb #2,2017-12-19,LP23,0.1181,FALSE
lead,1.0,Cu/Pb-Sn,2017-12-19,LP25,2e-4,FALSE
lead_dissolved,1.0,Cu/Pb-Sn,2017-12-19,LP25,2e-4,TRUE
lead,2.0-0.75,Pb-Cu,2017-12-19,LP31,0.0102,FALSE
lead_dissolved,2.0-0.75,Pb-Cu,2017-12-19,LP31,0.0092,FALSE
lead,2.0-0.75,Pb #1,2017-12-19,LP32,0.1378,FALSE
lead_dissolved,2.0-0.75,Pb #1,2017-12-19,LP32,0.1271,FALSE
lead,2.0-0.75,Pb #2,2017-12-19,LP33,0.1272,FALSE
lead_dissolved,2.0-0.75,Pb #2,2017-12-19,LP33,0.1199,FALSE
lead,2.0-0.75,Cu/Pb-Sn,2017-12-19,LP35,2e-4,TRUE
lead_dissolved,2.0-0.75,Cu/Pb-Sn,2017-12-19,LP35,2e-4,TRUE
lead,0-0.5,Pb-Cu,2018-01-03,LP11,0.0112,FALSE
lead_dissolved,0-0.5,Pb-Cu,2018-01-03,LP11,0.0094,FALSE
lead,0-0.5,Pb #1,2018-01-03,LP12,0.1058,FALSE
lead_dissolved,0-0.5,Pb #1,2018-01-03,LP12,0.097,FALSE
lead,0-0.5,Pb #2,2018-01-03,LP13,0.1148,FALSE
lead_dissolved,0-0.5,Pb #2,2018-01-03,LP13,0.1095,FALSE
lead,0-0.5,Cu/Pb-Sn,2018-01-03,LP15,3e-4,FALSE
lead_dissolved,0-0.5,Cu/Pb-Sn,2018-01-03,LP15,2e-4,FALSE
lead,1.0,Pb-Cu,2018-01-03,LP21,0.0093,FALSE
lead_dissolved,1.0,Pb-Cu,2018-01-03,LP21,0.0087,FALSE
lead,1.0,Pb #1,2018-01-03,LP22,0.0973,FALSE
lead_dissolved,1.0,Pb #1,2018-01-03,LP22,0.0924,FALSE
lead,1.0,Pb #2,2018-01-03,LP23,0.1069,FALSE
lead_dissolved,1.0,Pb #2,2018-01-03,LP23,0.1007,FALSE
lead,1.0,Cu/Pb-Sn,2018-01-03,LP25,2e-4,TRUE
lead_dissolved,1.0,Cu/Pb-Sn,2018-01-03,LP25,2e-4,TRUE
lead,2.0-0.75,Pb-Cu,2018-01-03,LP31,0.0259,FALSE
lead_dissolved,2.0-0.75,Pb-Cu,2018-01-03,LP31,0.0248,FALSE
lead,2.0-0.75,Pb #1,2018-01-03,LP32,0.1148,FALSE
lead_dissolved,2.0-0.75,Pb #1,2018-01-03,LP32,0.1089,FALSE
lead,2.0-0.75,Pb #2,2018-01-03,LP33,0.1085,FALSE
lead_dissolved,2.0-0.75,Pb #2,2018-01-03,LP33,0.1041,FALSE
lead,2.0-0.75,Cu/Pb-Sn,2018-01-03,LP35,2e-4,TRUE
lead_dissolved,2.0-0.75,Cu/Pb-Sn,2018-01-03,LP35,2e-4,TRUE
lead,0-0.5,Pb-Cu,2018-01-09,LP11,0.0237,FALSE
lead_dissolved,0-0.5,Pb-Cu,2018-01-09,LP11,0.0206,FALSE
lead,0-0.5,Pb #1,2018-01-09,LP12,0.1033,FALSE
lead_dissolved,0-0.5,Pb #1,2018-01-09,LP12,0.1013,FALSE
lead,0-0.5,Pb #2,2018-01-09,LP13,0.1189,FALSE
lead_dissolved,0-0.5,Pb #2,2018-01-09,LP13,0.1152,FALSE
lead,0-0.5,Cu/Pb-Sn,2018-01-09,LP15,3e-4,FALSE
lead_dissolved,0-0.5,Cu/Pb-Sn,2018-01-09,LP15,3e-4,FALSE
lead,1.0,Pb-Cu,2018-01-09,LP21,0.0079,FALSE
lead_dissolved,1.0,Pb-Cu,2018-01-09,LP21,0.0072,FALSE
lead,1.0,Pb #1,2018-01-09,LP22,0.1138,FALSE
lead_dissolved,1.0,Pb #1,2018-01-09,LP22,0.1083,FALSE
lead,1.0,Pb #2,2018-01-09,LP23,0.1229,FALSE
lead_dissolved,1.0,Pb #2,2018-01-09,LP23,0.1175,FALSE
lead,1.0,Cu/Pb-Sn,2018-01-09,LP25,2e-4,TRUE
lead_dissolved,1.0,Cu/Pb-Sn,2018-01-09,LP25,2e-4,TRUE
lead,2.0-0.75,Pb-Cu,2018-01-09,LP31,0.0108,FALSE
lead_dissolved,2.0-0.75,Pb-Cu,2018-01-09,LP31,0.0101,FALSE
lead,2.0-0.75,Pb #1,2018-01-09,LP32,0.1373,FALSE
lead_dissolved,2.0-0.75,Pb #1,2018-01-09,LP32,0.1322,FALSE
lead,2.0-0.75,Pb #2,2018-01-09,LP33,0.1306,FALSE
lead_dissolved,2.0-0.75,Pb #2,2018-01-09,LP33,0.126,FALSE
lead,2.0-0.75,Cu/Pb-Sn,2018-01-09,LP35,2e-4,TRUE
lead_dissolved,2.0-0.75,Cu/Pb-Sn,2018-01-09,LP35,2e-4,TRUE
lead,0-0.5,Pb-Cu,2018-01-16,LP11,0.0067,FALSE
lead_dissolved,0-0.5,Pb-Cu,2018-01-16,LP11,0.0061,FALSE
lead,0-0.5,Pb #1,2018-01-16,LP12,0.0993,FALSE
lead_dissolved,0-0.5,Pb #1,2018-01-16,LP12,0.0954,FALSE
lead,0-0.5,Pb #2,2018-01-16,LP13,0.1139,FALSE
lead_dissolved,0-0.5,Pb #2,2018-01-16,LP13,0.1093,FALSE
lead,0-0.5,Cu/Pb-Sn,2018-01-16,LP15,4e-4,FALSE
lead_dissolved,0-0.5,Cu/Pb-Sn,2018-01-16,LP15,2e-4,FALSE
lead,1.0,Pb-Cu,2018-01-16,LP21,0.0071,FALSE
lead_dissolved,1.0,Pb-Cu,2018-01-16,LP21,0.0065,FALSE
lead,1.0,Pb #1,2018-01-16,LP22,0.1033,FALSE
lead_dissolved,1.0,Pb #1,2018-01-16,LP22,0.0988,FALSE
lead,1.0,Pb #2,2018-01-16,LP23,0.1122,FALSE
lead_dissolved,1.0,Pb #2,2018-01-16,LP23,0.1073,FALSE
lead,1.0,Cu/Pb-Sn,2018-01-16,LP25,2e-4,TRUE
lead_dissolved,1.0,Cu/Pb-Sn,2018-01-16,LP25,2e-4,TRUE
lead,2.0-0.75,Pb-Cu,2018-01-16,LP31,0.009,FALSE
lead_dissolved,2.0-0.75,Pb-Cu,2018-01-16,LP31,0.0084,FALSE
lead,2.0-0.75,Pb #1,2018-01-16,LP32,0.1215,FALSE
lead_dissolved,2.0-0.75,Pb #1,2018-01-16,LP32,0.1168,FALSE
lead,2.0-0.75,Pb #2,2018-01-16,LP33,0.1181,FALSE
lead_dissolved,2.0-0.75,Pb #2,2018-01-16,LP33,0.1134,FALSE
lead,2.0-0.75,Cu/Pb-Sn,2018-01-16,LP35,2e-4,TRUE
lead_dissolved,2.0-0.75,Cu/Pb-Sn,2018-01-16,LP35,2e-4,TRUE
lead,0-0.5,Pb-Cu,2018-01-23,LP11,0.0071,FALSE
lead_dissolved,0-0.5,Pb-Cu,2018-01-23,LP11,0.0064,FALSE
lead,0-0.5,Pb #1,2018-01-23,LP12,0.1505,FALSE
lead_dissolved,0-0.5,Pb #1,2018-01-23,LP12,0.1415,FALSE
lead,0-0.5,Pb #2,2018-01-23,LP13,0.128,FALSE
lead_dissolved,0-0.5,Pb #2,2018-01-23,LP13,0.1194,FALSE
lead,0-0.5,Cu/Pb-Sn,2018-01-23,LP15,3e-4,FALSE
lead_dissolved,0-0.5,Cu/Pb-Sn,2018-01-23,LP15,2e-4,TRUE
lead,1.0,Pb-Cu,2018-01-23,LP21,0.0076,FALSE
lead_dissolved,1.0,Pb-Cu,2018-01-23,LP21,0.0064,FALSE
lead,1.0,Pb #1,2018-01-23,LP22,0.1111,FALSE
