location,ortho_dose,pipe_material,date,date_numeric,pk_vals_diss,pk_vals_part
LP22,1.0,Pb #1,2019-10-08,2.76986301369863,-0.09621375978268416,-0.07028690153038508
LP22,1.0,Pb #1,2019-10-16,2.791780821917808,0.08495557060125017,-0.0985965262452009
LP22,1.0,Pb #1,2019-10-22,2.808219178082192,0.09048016305862515,-0.21707641196822325
LP22,1.0,Pb #1,2019-10-30,2.83013698630137,0.2157714043136973,0.03151759550004941
LP22,1.0,Pb #1,2019-11-06,2.8493150684931505,0.09933554078901027,0.08978529917281482
LP22,1.0,Pb #1,2019-11-12,2.8657534246575342,-0.04273401202907112,-0.04183863897921228
LP22,1.0,Pb #1,2019-11-20,2.887671232876712,0.17987181053766982,0.1235217553517372
LP22,1.0,Pb #1,2019-11-26,2.904109589041096,0.010531494245976629,0.130068098653355
LP22,1.0,Pb #1,2019-12-04,2.926027397260274,0.0028474147273993833,0.10851934184292909
LP22,1.0,Pb #1,2019-12-17,2.9616438356164383,-0.06824632631966315,0.17580464150607464
LP22,1.0,Pb #1,2020-01-01,3.0027322404371586,-0.0015371146842309072,0.12385450607161727
LP22,1.0,Pb #1,2020-01-07,3.019125683060109,0.0450714595302097,-0.02910951485784894
LP22,1.0,Pb #1,2020-01-15,3.040983606557377,0.0683893023257782,-0.03882369103251379
LP22,1.0,Pb #1,2020-01-21,3.057377049180328,0.0822816889564946,0.03643132046819411
LP22,1.0,Pb #1,2020-01-29,3.079234972677596,0.0013643351132002872,-0.007879066064103307
LP22,1.0,Pb #1,2020-02-04,3.0956284153005464,0.043696134361005196,0.03015423597752752
LP22,1.0,Pb #1,2020-02-11,3.1147540983606556,-0.06763281542781177,0.012591778675482654
LP22,1.0,Pb #1,2020-02-18,3.133879781420765,-0.023975835377983017,0.006241731202695073
LP22,1.0,Pb #1,2020-02-25,3.1530054644808745,-0.08270867964303089,0.031574161738653295
LP22,1.0,Pb #1,2020-03-10,3.191256830601093,-0.013672980069065511,0.06192280338241308
LP22,1.0,Pb #1,2020-03-17,3.210382513661202,0.14025971909037507,0.06486938812390752
LP22,1.0,Pb #1,2020-03-25,3.23224043715847,-0.03116111707869304,0.0627590345183954
LP22,1.0,Pb #1,2020-04-01,3.251366120218579,-0.07180960254957065,0.03848067429801155
LP22,1.0,Pb #1,2020-04-08,3.2704918032786887,0.03916760021169384,0.016734759851663564
LP22,1.0,Pb #1,2020-04-15,3.289617486338798,0.03161128267752638,-0.026286943937313217
LP22,1.0,Pb #1,2020-04-22,3.308743169398907,-0.07865289732097389,0.050331476564275036
LP22,1.0,Pb #1,2020-04-28,3.3251366120218577,-0.009063764679369566,0.11925293505913273
LP22,1.0,Pb #1,2020-05-05,3.3442622950819674,-0.0051284936592979335,0.020055672881256374
LP22,1.0,Pb #1,2020-05-12,3.363387978142077,-0.041953288450664386,-0.05202347123041062
LP22,1.0,Pb #1,2020-05-20,3.3852459016393444,-0.034881866595992975,-0.03675412006946714
LP22,1.0,Pb #1,2020-05-26,3.401639344262295,-0.011167353637903624,-0.022913966739604205
LP22,1.0,Pb #1,2020-06-02,3.420765027322404,-0.03948325296226403,0.08459793158815253
LP22,1.0,Pb #1,2020-06-09,3.439890710382514,0.06306110335593462,-0.12348621860412191
LP22,1.0,Pb #1,2020-06-16,3.459016393442623,0.0882897115192171,0.10889151287865032
LP22,1.0,Pb #1,2020-06-23,3.478142076502732,-0.012704111628396776,0.0034632437154333076
LP22,1.0,Pb #1,2020-06-30,3.4972677595628414,0.05862799547705899,0.058780928644347086
LP22,1.0,Pb #1,2020-07-07,3.5163934426229506,0.12937207443871504,0.12355604005386152
LP22,1.0,Pb #1,2020-07-14,3.5355191256830603,0.14269101997968694,0.046622026861150107
LP22,1.0,Pb #1,2020-07-21,3.5546448087431695,-0.005160135445610319,0.06016065017840527
LP22,1.0,Pb #1,2020-07-28,3.5737704918032787,0.04356779556601166,0.1316353888655257
LP22,1.0,Pb #1,2020-08-04,3.592896174863388,0.01655089516641637,0.050288877547568916
LP22,1.0,Pb #1,2020-08-11,3.612021857923497,-0.027560301088200605,0.14827242152068046
LP22,1.0,Pb #1,2020-08-18,3.6311475409836063,0.0072347876595051895,0.08176371398574477
LP22,1.0,Pb #1,2020-08-26,3.6530054644808745,0.05449492694237129,0.18084788991902145
LP22,1.0,Pb #1,2020-09-01,3.669398907103825,0.031634024228181,0.06517725295578516
LP22,1.0,Pb #1,2020-09-09,3.691256830601093,0.07130412847235217,0.09642051145404906
LP22,1.0,Pb #1,2020-09-15,3.707650273224043,-0.03701892981732142,0.1878374710819802
