date,location,param,value,units,bdl,ortho_dose,pipe_material,detection_limit
2017-10-17,LP34,Iron,0.006,mg/L,FALSE,2.0-0.75,Cu,0.005
2017-10-17,LP34,Lead,2e-4,mg/L,TRUE,2.0-0.75,Cu,2e-4
2017-10-17,LP34,Lead Dissolved,2e-4,mg/L,TRUE,2.0-0.75,Cu,2e-4
2017-10-17,LP35,Iron,0.019,mg/L,FALSE,2.0-0.75,Cu/Pb-Sn,0.005
2017-10-17,LP35,Lead,7e-4,mg/L,FALSE,2.0-0.75,Cu/Pb-Sn,2e-4
2017-10-17,LP35,Lead Dissolved,4e-4,mg/L,FALSE,2.0-0.75,Cu/Pb-Sn,2e-4
2017-10-17,LP3A,Iron,0.116,mg/L,FALSE,2.0-0.75,NA,0.005
2017-10-17,LP3A,Lead,2e-4,mg/L,TRUE,2.0-0.75,NA,2e-4
2017-10-17,LP3A,Lead Dissolved,2e-4,mg/L,TRUE,2.0-0.75,NA,2e-4
2017-10-24,LP1,Iron,0.007,mg/L,FALSE,0-0.5,NA,0.005
2017-10-24,LP1,Lead,2e-4,mg/L,TRUE,0-0.5,NA,2e-4
2017-10-24,LP1,Lead Dissolved,2e-4,mg/L,TRUE,0-0.5,NA,2e-4
2017-10-24,LP11,Iron,0.006,mg/L,FALSE,0-0.5,Pb-Cu,0.005
2017-10-24,LP11,Lead,0.0132,mg/L,FALSE,0-0.5,Pb-Cu,2e-4
2017-10-24,LP11,Lead Dissolved,0.0124,mg/L,FALSE,0-0.5,Pb-Cu,2e-4
2017-10-24,LP12,Iron,0.006,mg/L,FALSE,0-0.5,Pb #1,0.005
2017-10-24,LP12,Lead,0.1238,mg/L,FALSE,0-0.5,Pb #1,2e-4
2017-10-24,LP12,Lead Dissolved,0.117,mg/L,FALSE,0-0.5,Pb #1,2e-4
2017-10-24,LP13,Iron,0.007,mg/L,FALSE,0-0.5,Pb #2,0.005
2017-10-24,LP13,Lead,0.1563,mg/L,FALSE,0-0.5,Pb #2,2e-4
2017-10-24,LP13,Lead Dissolved,0.1395,mg/L,FALSE,0-0.5,Pb #2,2e-4
2017-10-24,LP14,Iron,0.006,mg/L,FALSE,0-0.5,Cu,0.005
2017-10-24,LP14,Lead,2e-4,mg/L,TRUE,0-0.5,Cu,2e-4
2017-10-24,LP14,Lead Dissolved,2e-4,mg/L,TRUE,0-0.5,Cu,2e-4
2017-10-24,LP15,Iron,0.006,mg/L,FALSE,0-0.5,Cu/Pb-Sn,0.005
2017-10-24,LP15,Lead,5e-4,mg/L,FALSE,0-0.5,Cu/Pb-Sn,2e-4
2017-10-24,LP15,Lead Dissolved,4e-4,mg/L,FALSE,0-0.5,Cu/Pb-Sn,2e-4
2017-10-24,LP1A,Iron,0.011,mg/L,FALSE,0-0.5,NA,0.005
2017-10-24,LP1A,Lead,2e-4,mg/L,TRUE,0-0.5,NA,2e-4
2017-10-24,LP1A,Lead Dissolved,2e-4,mg/L,TRUE,0-0.5,NA,2e-4
2017-10-24,LP2,Iron,0.007,mg/L,FALSE,1.0,NA,0.005
2017-10-24,LP2,Lead,2e-4,mg/L,TRUE,1.0,NA,2e-4
2017-10-24,LP2,Lead Dissolved,2e-4,mg/L,TRUE,1.0,NA,2e-4
2017-10-24,LP21,Iron,0.006,mg/L,FALSE,1.0,Pb-Cu,0.005
2017-10-24,LP21,Lead,0.012,mg/L,FALSE,1.0,Pb-Cu,2e-4
2017-10-24,LP21,Lead Dissolved,0.0112,mg/L,FALSE,1.0,Pb-Cu,2e-4
2017-10-24,LP22,Iron,0.006,mg/L,FALSE,1.0,Pb #1,0.005
2017-10-24,LP22,Lead,0.1317,mg/L,FALSE,1.0,Pb #1,2e-4
2017-10-24,LP22,Lead Dissolved,0.1275,mg/L,FALSE,1.0,Pb #1,2e-4
2017-10-24,LP23,Iron,0.006,mg/L,FALSE,1.0,Pb #2,0.005
2017-10-24,LP23,Lead,0.1427,mg/L,FALSE,1.0,Pb #2,2e-4
2017-10-24,LP23,Lead Dissolved,0.1349,mg/L,FALSE,1.0,Pb #2,2e-4
2017-10-24,LP24,Iron,0.006,mg/L,FALSE,1.0,Cu,0.005
2017-10-24,LP24,Lead,2e-4,mg/L,TRUE,1.0,Cu,2e-4
2017-10-24,LP24,Lead Dissolved,2e-4,mg/L,TRUE,1.0,Cu,2e-4
2017-10-24,LP25,Iron,0.006,mg/L,FALSE,1.0,Cu/Pb-Sn,0.005
2017-10-24,LP25,Lead,3e-4,mg/L,FALSE,1.0,Cu/Pb-Sn,2e-4
2017-10-24,LP25,Lead Dissolved,2e-4,mg/L,FALSE,1.0,Cu/Pb-Sn,2e-4
